date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:10	51180/51180	---MCZ	200	added ('OK')	text/html	etag:W/%225eff5684-c7ec%22	http://layerdrops.com/krowd/index.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/index.html	(from )
21:06:10	50/50	---MCZ	200	added ('OK')	text/plain	date:Thu,%2020%20Apr%202023%2015:36:09%20GMT	http://layerdrops.com/robots.txt		(from )
21:06:10	766/766	---M--	200	added ('OK')	image/x-icon	etag:%225aeb88f6-2fe%22	http://layerdrops.com/krowd/assets/images/favicon.ico	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/images/favicon.ico	(from http://layerdrops.com/krowd/index.html)
21:06:13	160403/160403	---MCZ	200	added ('OK')	text/css	etag:W/%225ecf64e6-27293%22	http://layerdrops.com/krowd/assets/css/bootstrap.min.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/bootstrap.min.css	(from http://layerdrops.com/krowd/index.html)
21:06:13	2527/2527	---MCZ	200	added ('OK')	text/css	etag:W/%225eef570e-9df%22	http://layerdrops.com/krowd/assets/css/flaticon.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/flaticon.css	(from http://layerdrops.com/krowd/index.html)
21:06:13	3113/3113	---MCZ	200	added ('OK')	text/css	etag:W/%225ee6477c-c29%22	http://layerdrops.com/krowd/assets/css/odometer.min.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/odometer.min.css	(from http://layerdrops.com/krowd/index.html)
21:06:14	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225934f624-1b27%22	http://layerdrops.com/krowd/assets/css/magnific-popup.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/magnific-popup.css	(from http://layerdrops.com/krowd/index.html)
21:06:15	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225b3101d8-7918%22	http://layerdrops.com/krowd/assets/css/font-awesome.min.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/font-awesome.min.css	(from http://layerdrops.com/krowd/index.html)
21:06:16	77874/77874	---MCZ	200	added ('OK')	text/css	etag:W/%225ee5b58e-13032%22	http://layerdrops.com/krowd/assets/css/animate.min.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/animate.min.css	(from http://layerdrops.com/krowd/index.html)
21:06:17	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2259d3b18a-6f0%22	http://layerdrops.com/krowd/assets/css/slick.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/slick.css	(from http://layerdrops.com/krowd/index.html)
21:06:18	11304/11304	---MCZ	200	added ('OK')	text/css	etag:W/%225b35d61e-2c28%22	http://layerdrops.com/krowd/assets/css/default.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/default.css	(from http://layerdrops.com/krowd/index.html)
21:06:21	188591/188591	---MCZ	200	added ('OK')	text/css	etag:W/%225f009d48-2e0af%22	http://layerdrops.com/krowd/assets/css/style.css	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/css/style.css	(from http://layerdrops.com/krowd/index.html)
21:06:21	83800/83800	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Apr%202023%2015:36:20%20GMT	http://layerdrops.com/krowd/$	/home/ankit/websites/new%20test/layerdrops.com/krowd/$	(from http://layerdrops.com/krowd/index.html)
21:06:23	52074/52074	---MCZ	200	added ('OK')	text/html	etag:W/%225eff5674-cb6a%22	http://layerdrops.com/krowd/index-2.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/index-2.html	(from http://layerdrops.com/krowd/index.html)
21:06:23	44915/44915	---MCZ	200	added ('OK')	text/html	etag:W/%225eff567c-af73%22	http://layerdrops.com/krowd/index-3.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/index-3.html	(from http://layerdrops.com/krowd/index.html)
21:06:23	37487/37487	---MCZ	200	added ('OK')	text/html	etag:W/%225eff565c-926f%22	http://layerdrops.com/krowd/about.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/about.html	(from http://layerdrops.com/krowd/index.html)
21:06:24	28888/28888	---MCZ	200	added ('OK')	text/html	etag:W/%225eff5694-70d8%22	http://layerdrops.com/krowd/projects-1.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/projects-1.html	(from http://layerdrops.com/krowd/index.html)
21:06:25	28322/28322	---MCZ	200	added ('OK')	text/html	etag:W/%225eff569a-6ea2%22	http://layerdrops.com/krowd/projects-2.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/projects-2.html	(from http://layerdrops.com/krowd/index.html)
21:06:26	49345/49345	---MCZ	200	added ('OK')	text/html	etag:W/%225f009d12-c0c1%22	http://layerdrops.com/krowd/single-project.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/single-project.html	(from http://layerdrops.com/krowd/index.html)
21:06:27	83504/83504	---MCZ	200	added ('OK')	text/html	etag:W/%225eff5666-14630%22	http://layerdrops.com/krowd/faq.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/faq.html	(from http://layerdrops.com/krowd/index.html)
21:06:28	23872/23872	---MCZ	200	added ('OK')	text/html	etag:W/%225eff566e-5d40%22	http://layerdrops.com/krowd/gallery.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/gallery.html	(from http://layerdrops.com/krowd/index.html)
21:06:29	27429/27429	---MCZ	200	added ('OK')	text/html	etag:W/%225eff56b0-6b25%22	http://layerdrops.com/krowd/team-members.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/team-members.html	(from http://layerdrops.com/krowd/index.html)
21:06:30	25112/25112	---MCZ	200	added ('OK')	text/html	etag:W/%225eff568c-6218%22	http://layerdrops.com/krowd/news.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/news.html	(from http://layerdrops.com/krowd/index.html)
21:06:31	36131/36131	---MCZ	200	added ('OK')	text/html	etag:W/%225eff56a2-8d23%22	http://layerdrops.com/krowd/single-news.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/single-news.html	(from http://layerdrops.com/krowd/index.html)
21:06:32	24807/24807	---MCZ	200	added ('OK')	text/html	etag:W/%225eff5640-60e7%22	http://layerdrops.com/krowd/contact.html	/home/ankit/websites/new%20test/layerdrops.com/krowd/contact.html	(from http://layerdrops.com/krowd/index.html)
21:06:33	3123/3123	---M--	200	added ('OK')	image/png	etag:%225ee4f026-c33%22	http://layerdrops.com/krowd/assets/images/logo.png	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/images/logo.png	(from http://layerdrops.com/krowd/index.html)
21:06:34	2528/2528	---M--	200	added ('OK')	image/png	etag:%225ee4fd94-9e0%22	http://layerdrops.com/krowd/assets/images/header-icon.png	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/images/header-icon.png	(from http://layerdrops.com/krowd/index.html)
21:06:42	31563/31563	---M--	200	added ('OK')	image/png	etag:%225ee58b22-7b4b%22	http://layerdrops.com/krowd/assets/images/banner-line.png	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/images/banner-line.png	(from http://layerdrops.com/krowd/index.html)
21:06:45	10413/10413	---M--	200	added ('OK')	image/png	etag:%225ee5c5d2-28ad%22	http://layerdrops.com/krowd/assets/images/categories-user.png	/home/ankit/websites/new%20test/layerdrops.com/krowd/assets/images/categories-user.png	(from http://layerdrops.com/krowd/index.html)
